Report Number,title,link,author,outlier
 ,,,,
The Center has produced the following papers in 2021-22:,,,,
WP 380: ,The Long-Run Effects of Short-Time Compensation,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20380.The%20LongRun%20Effects%20of%20ShortTime%20Compensation.pdf, by Takao Kato and Naomi Kodama,
WP 381: ,"Tillers of Prosperity: Land Ownership, Reallocation, and Structural Transformation",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20381.Tillers%20of%20Prosperity.pdf, by Shuhei Kitamura,
WP 382: ,The Role of Management Accounting in Stakeholder Theory,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20382.%20The%20Role%20of%20Management%20Accounting%20in%20Stakeholder%20Theory.pdf, by Junya Ohnishi,
WP 383: ,Public Management Accounting in Japan: Case Study of the National Tax Agency in the Ministry of Finance ,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20383.Public%20Management%20Accounting%20in%20Japan.pdf,by Junya Ohnishi,
 ,,,,
The Center has produced the following papers in 2020-21:,,,,
WP 375: ,Japan's Voluntary Lockdown,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20375.Japan_s%20Voluntary%20Lockdown.pdf, by Tsutomu Watanabe and Tomoyoshi Yabu,
WP 376: ,"The Darkside of Pursuing Growth in the Product Cycle — Corruption, Graft, and Bubbles",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20376.The%20Darkside%20of%20Pursuing%20Growth%20in%20the%20Product%20Cycle.pdf, by William V. Rapp,
WP 377: ,The Welfare Implications of Massive Money Injection: The Japanese Experience from 2013 to 2020,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20377.The%20Welfare%20Implications%20of%20Massive%20Money%20Injection.pdf, by Tsutomu Watanabe,
WP 378: ,A Retrospective on Abenomics,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20378.A%20Retrospective%20on%20Abenomics.pdf, by Edward J. Lincoln,
WP 379: ,Japan’s Voluntary Lockdown: Further Evidence Based on Age-Specific Mobile Location Data,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20379.Japan%E2%80%99s%20Voluntary%20Lockdown%20Further%20Evidence.pdf, by Tsutomu Watanabe and Tomoyoshi Yabu,
 ,,,,
OP 80: ,Japan’s Economy: Stable in a Turbulent World,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP%2080.Hugh%20Patrick.Stable%20in%20a%20Turbulent%20World.pdf, by Hugh Patrick,
OP 81: ,My Career as an Economist on Japan and the Asia-Pacific,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP81.%20Hugh%20Patrick.My%20Career%20as%20an%20Economist%20on%20Japan%20and%20the%20Asia-Pacific.pdf, by Hugh Patrick,
 ,,,,
The Center has produced the following papers in 2019-20:,,,,
WP 369: ,Trade Effects on Job Changes through Job Creation and Destruction Responses,https://doi.org/10.7916/d8-pqe3-hy13, by Masahiro Endoh,
