,title,Year,Report Number,Author 1,Author 2,Author 3,Author 4,File Name
0,The Long-Run Effects of Short-Time Compensation,2021-22,WP 380,"Takao,Kato","Naomi,Kodama",,,WP 380.The Long-Run Effects of Short-Time Compensation.pdf
1,"Tillers of Prosperity: Land Ownership, Reallocation, and Structural Transformation",2021-22,WP 381,"Shuhei,Kitamura",,,,"WP 381.Tillers of Prosperity: Land Ownership, Reallocation, and Structural Transformation.pdf"
2,The Role of Management Accounting in Stakeholder Theory,2021-22,WP 382,"Junya,Ohnishi",,,,WP 382.The Role of Management Accounting in Stakeholder Theory.pdf
3,Public Management Accounting in Japan: Case Study of the National Tax Agency in the Ministry of Finance ,2021-22,WP 383,"Junya,Ohnishi",,,,WP 383.Public Management Accounting in Japan: Case Study of the National Tax Agency in the Ministry of Finance .pdf
4,Japan's Voluntary Lockdown,2020-21,WP 375,"Tsutomu,Watanabe","Tomoyoshi,Yabu",,,WP 375.Japan's Voluntary Lockdown.pdf
5,"The Darkside of Pursuing Growth in the Product Cycle — Corruption, Graft, and Bubbles",2020-21,WP 376,"William,V.,Rapp",,,,"WP 376.The Darkside of Pursuing Growth in the Product Cycle — Corruption, Graft, and Bubbles.pdf"
6,The Welfare Implications of Massive Money Injection: The Japanese Experience from 2013 to 2020,2020-21,WP 377,"Tsutomu,Watanabe",,,,WP 377.The Welfare Implications of Massive Money Injection: The Japanese Experience from 2013 to 2020.pdf
7,A Retrospective on Abenomics,2020-21,WP 378,"Edward,J.,Lincoln",,,,WP 378.A Retrospective on Abenomics.pdf
8,Japan’s Voluntary Lockdown: Further Evidence Based on Age-Specific Mobile Location Data,2020-21,WP 379,"Tsutomu,Watanabe","Tomoyoshi,Yabu",,,WP 379.Japan’s Voluntary Lockdown: Further Evidence Based on Age-Specific Mobile Location Data.pdf
9,Japan’s Economy: Stable in a Turbulent World,2020-21,OP 80,"Hugh,Patrick",,,,OP 80.Japan’s Economy: Stable in a Turbulent World.pdf
10,My Career as an Economist on Japan and the Asia-Pacific,2020-21,OP 81,"Hugh,Patrick",,,,OP 81.My Career as an Economist on Japan and the Asia-Pacific.pdf
11,Trade Effects on Job Changes through Job Creation and Destruction Responses,2019-20,WP 369,"Masahiro,Endoh",,,,WP 369.Trade Effects on Job Changes through Job Creation and Destruction Responses.pdf
12,Coming in at a Trickle: The Optimal Frequency of Public Benefit Payments,2019-20,WP 370,"Cameron,LaPoint","Shogo,Sakabe",,,WP 370.Coming in at a Trickle: The Optimal Frequency of Public Benefit Payments.pdf
13,Offshoring and Working Hours Adjustments in a Within-firm Labor Market,2019-20,WP 371,"Masahiro,Endoh",,,,WP 371.Offshoring and Working Hours Adjustments in a Within-firm Labor Market.pdf
14,The Future of Japan's Financial Market,2019-20,WP 372,"Nobuyuki,Kinoshita",,,,WP 372.The Future of Japan's Financial Market.pdf
15,The Responses of Consumption and Prices in Japan to the COVID-19 Crisis and the Tohoku Earthquake,2019-20,WP 373,"Tsutomu,Watanabe",,,,WP 373.The Responses of Consumption and Prices in Japan to the COVID-19 Crisis and the Tohoku Earthquake.pdf
16,The Effect of the U.S.-China Trade War on U.S. Investment,2019-20,WP 374,"Mary,Amiti","Sang,Hoon,Kong","David,E.,Weinstein",,WP 374.The Effect of the U.S.-China Trade War on U.S. Investment.pdf
17,The Samurai Bond: Credit Supply and Economic Growth in Pre-War Japan,2018-19,WP 363,"Sergi,Basco","John,P.,Tang",,,WP 363.The Samurai Bond: Credit Supply and Economic Growth in Pre-War Japan.pdf
18,The Neo-Fisher Effect: Econometric Evidence from Empirical and Optimizing Models,2018-19,WP 364,"Martin,Uribe",,,,WP 364.The Neo-Fisher Effect: Econometric Evidence from Empirical and Optimizing Models.pdf
19,Main Bank Relationship and Accounting Conservatism: Evidence from Japan,2018-19,WP 365,"Hideaki,Sakawa","Naoki,Watanabel",,,WP 365.Main Bank Relationship and Accounting Conservatism: Evidence from Japan.pdf
20,Earnings Management and Internal Control in Bank-dominated Corporate Governance: Evidence from Japan,2018-19,WP 366,"Hideaki,Sakawa","Naoki,Watanabel",,,WP 366.Earnings Management and Internal Control in Bank-dominated Corporate Governance: Evidence from Japan.pdf
21,Japanese Newspapers,2018-19,WP 367,"David,Flath",,,,WP 367.Japanese Newspapers.pdf
22,The Impact of the 2018 Trade War on U.S. Prices and Welfare,2018-19,WP 368,"Mary,Amiti","Stephen,J.,Redding","David,Weinstein",,WP 368.The Impact of the 2018 Trade War on U.S. Prices and Welfare.pdf
23,"Japan's Economy: Stable, with Modest Sustained Change",2018-19,OP 79,"Hugh,Patrick",,,,"OP 79.Japan's Economy: Stable, with Modest Sustained Change.pdf"
24,Difficulties and Challenges: Japan’s Post-War History of Economic Trends and Monetary Policy,2017-18,WP 360,"Yoshio,Suzuki",,,,WP 360.Difficulties and Challenges: Japan’s Post-War History of Economic Trends and Monetary Policy.pdf
25,The Crisis that Wasn’t: How Japan Has Avoided a Bond Market Panic,2017-18,WP 361,"Mark,T.,Greenan","David,E.,Weinstein",,,WP 361.The Crisis that Wasn’t: How Japan Has Avoided a Bond Market Panic.pdf
26,The Federal Reserve in the Shadow of the Bank of Japan,2017-18,WP 362,"Thomas,F.,Cargill","Gerald,P.,O'Driscoll,Jr.",,,WP 362.The Federal Reserve in the Shadow of the Bank of Japan.pdf
27,Japan's Economy: Moving Along its Modest Sustainable Growth Path,2017-18,OP 78,"Hugh,Patrick",,,,OP 78.Japan's Economy: Moving Along its Modest Sustainable Growth Path.pdf
28,When Are Uninformed Boards Preferable?,2016-17,WP 353,"Naoto,Isaka",,,,WP 353.When Are Uninformed Boards Preferable?.pdf
29,Product Dynamics and Aggregate Shocks: Evidence from Japanese Product and Firm Level Data,2016-17,WP 354,"Robert,Dekle","Atsushi,Kawakami","Nobuhiro,Kitoyaki","Tsutomu,Miyagawa",WP 354.Product Dynamics and Aggregate Shocks: Evidence from Japanese Product and Firm Level Data.pdf
30,In the Eye of the Storm,2016-17,WP 355,"William,Rapp",,,,WP 355.In the Eye of the Storm.pdf
31,Lessons From Koizumi-Era Financial Services Sector Reforms,2016-17,WP 356,"Naomi,Fink",,,,WP 356.Lessons From Koizumi-Era Financial Services Sector Reforms.pdf
32,Lending to Unhealthy Firms in Japan During the Lost Decade: Distinguishing between Technical and Financial Health,2016-17,WP 357,"Suparna,Chakraborty","Joe,Peek",,,WP 357.Lending to Unhealthy Firms in Japan During the Lost Decade: Distinguishing between Technical and Financial Health.pdf
33,"Are Picked-up Losers Really Losers?: Evidence from Scrapping Policies in the Japanese Spinning Industry, 1965-79",2016-17,WP 358,"Takafumi,Korenaga",,,,"WP 358.Are Picked-up Losers Really Losers?: Evidence from Scrapping Policies in the Japanese Spinning Industry, 1965-79.pdf"
34,A New Governance Framework for Global Financial Regulation?,2016-17,WP 359,"Masamichi,Kono",,,,WP 359.A New Governance Framework for Global Financial Regulation?.pdf
35,"Review of Yoshio Suzuki's “Difficulties and Challenges, Japan’s Post-War History of Monetary Policy and Economic Trends”",2016-17,OP 77,"Hugh,Patrick",,,,"OP 77.Review of Yoshio Suzuki's “Difficulties and Challenges, Japan’s Post-War History of Monetary Policy and Economic Trends”.pdf"
36,Was the Forex Fixing Fixed?,2015-16,WP 344,"Takatoshi,Ito","Masahiro,Yamada",,,WP 344.Was the Forex Fixing Fixed?.pdf
37,"Heterogeneity in Japanese TFP, Part 1: Why Overcoming Deflation Alone is Not Enough",2015-16,WP 345,"Naomi,Fink",,,,"WP 345.Heterogeneity in Japanese TFP, Part 1: Why Overcoming Deflation Alone is Not Enough.pdf"
38,Education and Marriage Decisions of Japanese Women and the Role of the Equal Employment Opportunity Act,2015-16,WP 346,"Linda,Edwards","Takuya,Hasebe","Tadashi,Sakai",,WP 346.Education and Marriage Decisions of Japanese Women and the Role of the Equal Employment Opportunity Act.pdf
