Report Number,title,abstract,link,author,outlier
No. 348: ,How to make global supply chains more resilient,No. 348: ,/sites/default/files/content/docs/fdi perspectives/No 348 - Gereffi - FINAL.pdf,","" by Gary Gereffi",
,中文版,Governments and companies play mutually supportive roles in building resilient global supply chains. This article identifies four post-pandemic managerial strategies and five government policies to enhance strategic competitiveness and develop workforce skills for 21st-century development.  ,/sites/default/files/content/docs/fdi perspectives/No 348 - Gereffi - FINAL - CHINESE version.pdf,,
No. 347: ,Investment facilitation in the WTO: The case for early harvesting,No. 347: ,/sites/default/files/content/docs/fdi perspectives/No 347 - Hoekman and Mavroidis - FINAL.pdf,","" by Bernard M. Hoekman and Petros C. Mavroidis  ",
,中文版,The benefits of an Investment Facilitation for Development Agreement need not wait for ratification by all signatories or approval from all WTO members. Early implementation can be realized through provisions in signatories’ GATT and GATS commitment schedules.  ,/sites/default/files/content/docs/fdi perspectives/No 347 - Hoekman and Mavroidis - FINAL - CHINESE version.pdf,,
No. 346: ,The way forward in reforming the legitimate expectations test,No. 346: ,/sites/default/files/content/docs/fdi perspectives/No 346 - Levashova - FINAL.pdf,","" by Yulia Levashova",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 346 - Levashova - FINAL - CHINESE version.pdf, suggests including drafting guidelines for an investor’s legitimate expectations under an FET standard into IIAs. The author argues for a more structured methodological approach toward an assessment of legitimate expectations by way of the application of some elements of proportionally. Specific drafting suggestions are proposed.  ,
No. 345: ,Investment dispute management: The importance of the domestic dimension,No. 345: ,/sites/default/files/content/docs/fdi perspectives/No 345 - Leyda and Nitschke  - FINAL.pdf,""" by Alejandro Carballo Leyda and Frauke Nitschke",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 345 - Leyda and Nitschke  - FINAL - CHINESE version.pdf," highlights the two key elements that governments need to consider at the domestic level to effectively manage investment disputes, independently of any reform of the investor-state dispute-settlement (ISDS) mechanism. Such a domestic framework increases stakeholders’ confidence, strengthens FDI retention and enables countries to be proactive and save resources.  ",
No. 344: ,Advancing climate-change goals: From reactive to proactive systemic integration,No. 344: ,/sites/default/files/content/docs/fdi perspectives/No 344 - Chaisse and Solanki - FINAL.pdf,","" by Julien Chaisse and Arjun Solanki",
,中文版,Can countries fulfill their obligations under international environmental agreements in the presence of international investment agreements or vice versa? This ,/sites/default/files/content/docs/fdi perspectives/No 344 - Chaisse and Solanki - FINAL - CHINESE version.pdf, offers recommendations for arbitrators and countries to harmonize their climate goals and investment obligations by moving from a strictly disciplinary view of investment law through the lens of general international law.  ,
No. 343: ,How are global value chains altering policy narratives?,No. 343: ,"/sites/default/files/content/docs/fdi perspectives/No 343 - Pietrobelli, Rabellotti and Van Assche - FINAL.pdf",","" by Carlo Pietrobelli, Roberta Rabellotti and Ari Van Assche",
,中文版,"Global value chains (GVCs) have taken the policy world by storm, with many policymakers viewing them as potent tools to boost economic development through industrial upgrading. In this ","/sites/default/files/content/docs/fdi perspectives/No 343 - Pietrobelli, Rabellotti and Van Assche - FINAL - CHINESE version.pdf",", the authors argue that zooming in on the roles of tasks, linkages and firms helps clarify the novelty of GVC-oriented policies.  ",
No. 342: ,Why omitting general public policy exceptions from investment treaties is a setback for the right to regulate,No. 342: ,/sites/default/files/content/docs/fdi perspectives/No 342 - Alschner - FINAL.pdf,","" by Wolfgang Alschner",
,中文版,Responding to a recent ,/sites/default/files/content/docs/fdi perspectives/No 342 - Alschner - FINAL - CHINESE version.docx.pdf,"on ""The new Canadian Model investment treaty,"" this article explores the reasons why the omission of general public policy exceptions in investment treaties is a setback for the right to regulate.  ",
No. 341: ,Strengthening international negotiation assistance for developing host countries,No. 341: ,/sites/default/files/content/docs/fdi perspectives/No 341 - Tsang - FINAL.pdf,","" by Vanessa Tsang",
,中文版,"It is important for developing host countries to ensure that the investment contracts they enter into with foreign investors are fit-for-purpose and effectively protect the parties’ often competing commercial interests. To ensure that these contracts are fair and equitable, host countries may need to rely on international negotiation support.  ",/sites/default/files/content/docs/fdi perspectives/No 341 - Tsang - FINAL - CHINESE version_0.pdf, ,
No. 340: ,Advancing alternatives: Promoting mediation and conciliation in investor-state dispute settlement,No. 340: ,/sites/default/files/content/docs/fdi perspectives/No 340 - Chang and Kang - FINAL.pdf,","" by Brian Chang and Daniel Kang",
